English_Name,Oruko(Yoruba_Name),English_Symptoms,Awọn aami aisan(Symptoms)
Tuberculosis,iko,"Persistent cough, weight loss, night sweats, fever, chest pain, coughing up blood","Ikọaláìdúró àìdára, àdánù làìpẹ, lagun alẹ, iba, irora àyà, ikọ ẹjẹ soke"
Strep Throat,Strep ọfun,"Sore throat, difficulty swallowing, red and swollen tonsils, fever, headache, rash","Ọfun ọgbẹ, iṣoro gbigbe, pupa ati tonsils wú, iba, orififo, sisu"
Whooping Cough,Ikọaláìdúró,"Severe coughing fits, whooping sound when inhaling, vomiting after coughing, exhaustion","Ikọaláìdúró ti o lagbara, ohun gbigbo nigba mimu simi, eebi lẹhin ikọ, irẹwẹsi"
Cholera,Arun kolera,"Watery diarrhea, dehydration, vomiting, rapid heart rate, low blood pressure","Igbẹ gbuuru omi, gbigbẹ, ìgbagbogbo, oṣuwọn okan iyara, titẹ ẹjẹ kekere"
Lyme Disease,Arun Lyme,"Bullseye rash, fever, chills, headache, fatigue, muscle and joint aches, swollen lymph nodes","Ẹ̀fọ́rí, ìbànújẹ́, rírẹ̀rẹ̀gẹ̀jigẹ̀, iṣan ara àti ìrora ìsokọ́ra, àwọn ọ̀rá tí ó wú"
Q fever,Iba Q,"High fever, severe headache, muscle pain, chills, fatigue, cough, nausea, vomiting, diarrhea","Iba giga, orififo nla, irora iṣan, otutu, rirẹ, Ikọaláìdúró, ríru, ìgbagbogbo, gbuuru"
Meningococcal disease,Arun meningococcal,"Sudden fever, headache, stiff neck, nausea, vomiting, sensitivity to light, confusion, rash","Iba lojiji, orififo, ọrùn lile, ríru, ìgbagbogbo, ifamọ si imọlẹ, iporuru, sisu"
Legionnaires disease,Arun Legionnaires,"Cough, shortness of breath, high fever, muscle aches, headaches, chills, confusion, diarrhea","Ikọaláìdúró, ìmí kuru, ibà giga, irora iṣan, orififo, otutu, idamu, gbuuru"
Pneumonia,Àìsàn òtútù àyà,"Cough, fever, chills, shortness of breath, chest pain, fatigue, nausea, vomiting, confusion","Ikọaláìdúró, iba, otutu, mimi kuru, irora àyà, rirẹ, ríru, ìgbagbogbo, iporuru"
Salmonellosis,Salmonellosis,"Diarrhea, fever, abdominal cramps, nausea, vomiting, headache","Ìgbẹ́ gbuuru, ibà, ìríra, ìríra, ìgbagbogbo, ẹ̀fọ́rí"
Campylobacteriosis,Campylobacteriosis,"Diarrhea (often bloody), fever, abdominal cramps, nausea, vomiting, fatigue","Ìgbẹ́ gbuuru (ọ̀pọ̀ ẹ̀jẹ̀ lọ́pọ̀lọpọ̀), ibà, ìríra, ìríra, ìgbagbogbo, àárẹ̀"
Chlamydia,Chlamydia,"Often asymptomatic; genital discharge, burning sensation during urination, pelvic pain","Nigbagbogbo asymptomatic; itujade ti ara, itara sisun lakoko ito, irora ibadi"
Paratyphoid fever ,Iba paratyphoid,"Prolonged fever, weakness, loss of appetite, headache, stomach pain, diarrhea or constipation","Iba gigun, ailera, isonu ti ounjẹ, orififo, irora inu, gbuuru tabi àìrígbẹyà
"
Rheumatic fever ,Ìbà ìbànújẹ́,"Fever, painful and swollen joints, rash, nodules under the skin, shortness of breath, fatigue","Iba, irora ati awọn isẹpo wiwu, sisu, nodules labẹ awọ ara, kuru ẹmi, rirẹ
"
Scarlet fever ,Ìbà pupa,"Red rash, red lines in skin folds, flushed face, strawberry tongue, high fever, sore throat","Pupa pupa, awọn ila pupa ni awọn agbo awọ ara, oju ti o fọ, ahọn iru eso didun kan, iba nla, ọfun ọgbẹ"
Impetigo,Impetigo,"Red sores, blisters, honey-colored crusts, itching","Awọn egbò pupa, roro, awọn erupẹ awọ oyin, nyún"
Cat scratch disease,o nran ibere arun,"Swollen lymph nodes, fever, fatigue, headache, blisters or bumps at the site of the scratch or bite","Awọn apa ọgbẹ ti o ni wiwu, iba, rirẹ, orififo, roro tabi bumps ni aaye ti ibere tabi jáni"
Trachoma,Trachoma,"Eye discharge, eye pain, swollen eyelids, trichiasis (inward growing eyelashes), vision loss","Sisọjade oju, irora oju, awọn ipenpeju wiwu, trichiasis (awọn ipenpeju ti o dagba ninu), pipadanu iran"
Psittacosis,Psittacosis,"Fever, chills, headache, muscle aches, dry cough, pneumonia","Iba, otutu, orififo, irora iṣan, Ikọaláìdúró gbígbẹ, pneumonia"
Yersiniosis,Yersiniosis,"Fever, abdominal pain, diarrhea (often bloody), joint pain","Iba, irora inu, gbuuru (nigbagbogbo ẹjẹ), irora apapọ"
Tropical ulcer,Tropical ulcer,"Painful sores or ulcers on the skin, often with surrounding redness and swelling","Awọn egbò irora tabi ọgbẹ lori awọ ara, nigbagbogbo pẹlu pupa ati wiwu agbegbe"
Relapsing fever,Ìbà tí ń padà sẹ́yìn,"Recurring episodes of fever, headache, muscle and joint pain, nausea","Awọn iṣẹlẹ ti o nwaye ti iba, orififo, iṣan ati irora apapọ, ríru"
Whipple's disease,Arun Whipple,"Joint pain, diarrhea, abdominal pain, weight loss, malabsorption, fever","Irora apapọ, gbuuru, irora inu, pipadanu iwuwo, malabsorption, iba"
Urinary tract infections (UTIs),Awọn akoran ito (UTIs),"Frequent urination, painful urination, cloudy urine, strong-smelling urine, pelvic pain","ito loorekoore, ito irora, ito kurukuru, ito oorun ti o lagbara, irora ibadi"
Diphtheria,Diphtheria,"Sore throat, fever, swollen glands, weakness, thick gray membrane covering throat and tonsils","Ọfun ọgbẹ, iba, awọn keekeke ti o wú, ailera, awọ awọ grẹy ti o nipọn ti o bo ọfun ati awọn tonsils"
Endocarditis,Endocarditis,"Fever, chills, fatigue, aching joints and muscles, night sweats, shortness of breath
","Iba, otutu, rirẹ, awọn isẹpo ati iṣan irora, lagun alẹ, kuru mimi"
Septicemia,Septicemia,"Fever, chills, rapid breathing, rapid heart rate, confusion, disorientation","Iba, otutu, mimi iyara, iyara ọkan, iporuru, idamu"
