English_Name,Oruko(Yoruba_Name),English_Symptoms,Awọn aami aisan(Symptoms)
Candidiasis,Candidiasis,"Oral thrush, vaginal yeast infection, diaper rash, esophagitis, systemic infections (fever, chills)","Ẹnu ọ̀rọ̀ ẹnu, àkóràn ìwúkàrà abẹ́lẹ̀, sísun ilédìí, esophagitis, àkóràn àkóràn (ìbà, otutu)"
Aspergillosis,Aspergillosis,"Cough, chest pain, shortness of breath, fever, wheezing, sinus infections","Ikọaláìdúró, àyà irora, kukuru ìmí, iba, mimi, àkóràn sinus"
Cryptococcosis,Cryptococcosis,"Headache, fever, neck pain, nausea, sensitivity to light, confusion","orififo, iba, irora ọrun, ríru, ifamọ si ina, iporuru"
Histoplasmosis,Histoplasmosis,"Fever, cough, fatigue, chills, headache, chest pain, body aches","Iba, Ikọaláìdúró, rirẹ, otutu, orififo, irora àyà, irora ara"
Blastomycosis,Blastomycosis,"Fever, cough, night sweats, muscle aches, chest pain, weight loss","Iba, Ikọaláìdúró, lagun alẹ, irora iṣan, irora àyà, pipadanu iwuwo"
Coccidioidomycosis,Coccidioidomycosis,"Fever, cough, chest pain, chills, night sweats, fatigue, joint pain","Iba, Ikọaláìdúró, irora àyà, otutu, lagun alẹ, rirẹ, irora apapọ"
Pneumocystis pneumonia (PCP),Pneumocystis pneumonia (PCP),"Fever, dry cough, shortness of breath, fatigue","Ìbà, Ikọaláìdúró gbígbẹ, ìmí kuru, rirẹ"
Sporotrichosis,Sporotrichosis,"Skin ulcers, nodules, red bumps, lymph node swelling","Awọn ọgbẹ awọ ara, awọn nodules, awọn bumps pupa, wiwu ọra-ara"
Tinea (Ringworm),Tinea (Ringworm),"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Onychomycosis,Onychomycosis,"Thickened, discolored nails, brittle or crumbly nails, separation from nail bed","Awọn eekanna ti o nipọn, awọn eekanna ti ko ni awọ, awọn eekanna brittle tabi crumbly, Iyapa lati àlàfo ibusun"
Tinea pedis (Athlete's foot),Tinea pedis (Ẹsẹ elere),"Itching, burning, cracked skin, blisters, peeling skin between toes","Ìyọnu, sisun, awọ ara ti o ya, roro, awọ ara ti o yọ laarin awọn ika ẹsẹ"
Tinea cruris (Jock itch),Tinea cruris (Jock itch),"Itchy, red, ring-shaped rash in groin area, burning sensation","Itchy, pupa, sisu ti o ni iwọn oruka ni agbegbe ikun, itara sisun"
Tinea corporis (Ringworm of the body),Tinea corporis (Ringworm ti ara),"Itchy, red, ring-shaped rash, clear center, raised edges","Itchy, pupa, sisu ti o ni iwọn oruka, aarin ko o, awọn egbegbe dide"
Tinea capitis (Ringworm of the scalp),Tinea capitis (Ringworm ti awọ-ori),"Scaly, itchy scalp, hair loss, black dots, swollen lymph nodes","Irẹjẹ, awọ-awọ ti o yun, ipadanu irun, awọn aami dudu, awọn ọmu ti o wú"
Tinea barbae (Barber's itch),Tinea barbae (ìyẹn Barber),"Itchy, red, ring-shaped rash in beard area, hair loss","Itchy, pupa, sisu ti o ni iwọn oruka ni agbegbe irungbọn, pipadanu irun"
Tinea unguium (Nail fungus),Tinea unguium (fungus àlàfo),"Thickened, discolored nails, brittle or crumbly nails, separation from nail bed","Awọn eekanna ti o nipọn, awọn eekanna ti ko ni awọ, awọn eekanna brittle tabi crumbly, Iyapa lati àlàfo ibusun"
Paracoccidioidomycosis,Paracoccidioidomycosis,"Fever, weight loss, cough, shortness of breath, skin lesions, lymph node swelling","Iba, àdánù làìpẹ, Ikọaláìdúró, ìmí kukuru, awọn egbo awọ ara, wiwu ọra-ara"
Chromoblastomycosis,Chromoblastomycosis,"Warty skin lesions, nodules, scaly patches, ulceration","Warty ara egbo, nodules, scaly abulẹ, ulceration"
Mycetoma,Mycetoma,"Swelling, painless nodules, drainage, deformity, sinuses discharging grains","Wiwu, awọn nodules ti ko ni irora, idominugere, ibajẹ, awọn sinuses ti n ṣaja awọn irugbin"
Zygomycosis (Mucormycosis),Zygomycosis (Mucormycosis),"Sinus pain, facial swelling, black lesions, fever, cough, chest pain","Irora sinus, wiwu oju, awọn egbo dudu, iba, Ikọaláìdúró, irora àyà"
Fusariosis,Fusariosis,"Skin lesions, sinus infection, fever, eye infections, disseminated infections","Awọn egbo awọ ara, ikolu sinus, iba, awọn akoran oju, awọn akoran ti a tan kaakiri"
Penicilliosis,Penicilliosis,"Fever, cough, fatigue, weight loss, skin lesions, lymph node swelling","Iba, Ikọaláìdúró, rirẹ, àdánù làìpẹ, awọn egbo awọ ara, ọra-ara wiwu"
Rhinosporidiosis,Rhinosporidiosis,"Nasal polyps, nosebleeds, nasal obstruction, skin lesions","Awọn polyps imu, awọn ẹjẹ imu, idaduro imu, awọn egbo awọ ara"
Lobomycosis,Lobomycosis,"Keloid-like nodules, ulcerative lesions, plaques, skin thickening","Awọn nodules ti o dabi Keloid, awọn ọgbẹ ọgbẹ, plaques, didan awọ ara"
Phaeohyphomycosis,Pheohyphomycosis,"Skin lesions, subcutaneous nodules, brain abscesses, sinusitis","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ, sinusitis"
Protothecosis,Protothecosis,"Skin ulcers, nodules, joint pain, bursitis, systemic infections","Awọn ọgbẹ awọ ara, awọn nodules, irora apapọ, bursitis, awọn akoran eto eto"
Geotrichosis,Geotrichosis,"Oral thrush, bronchitis, pneumonia, sinusitis, skin lesions","Oral thrush, anm, pneumonia, sinusitis, awọn egbo ara"
Trichosporonosis,Trichosporonosis,"Fever, skin lesions, fungemia, pneumonia, kidney involvement","Iba, awọn egbo awọ ara, fungemia, pneumonia, ilowosi kidinrin"
Malassezia infections,Awọn akoran Malassezia,"Itchy, flaky scalp, dandruff, scaly patches, skin discoloration","Ríyọ̀, àwọ̀ àwọ̀ tí ń jó, ìríra, àwọn àwọ̀ eléèérí, àwọ̀ ara"
Scopulariopsis infection,Scopulariopsis ikolu,"Nail discoloration, onychomycosis, skin infections, sinusitis","Àwọ̀ èékánná, onychomycosis, àkóràn awọ ara, sinusitis"
Scedosporiosis,Scedosporiosis,"Sinusitis, pneumonia, skin lesions, brain abscesses","Sinusitis, pneumonia, awọn egbo awọ ara, abscesses ọpọlọ"
Alternariosis,Alternariosis,"Skin lesions, subcutaneous nodules, sinusitis, asthma exacerbation","Awọn egbo awọ-ara, awọn nodules subcutaneous, sinusitis, ikọlu ikọ-fèé"
Curvularia infection,Curvularia ikolu,"Sinusitis, keratitis, skin lesions, disseminated infections","Sinusitis, keratitis, awọn egbo awọ-ara, awọn akoran ti o tan kaakiri"
Cladophialophora infection,Cladophialophora ikolu,"Skin lesions, brain abscesses, subcutaneous nodules","Awọn egbo awọ ara, abscesses ọpọlọ, awọn nodules subcutaneous"
Bipolaris infection,Bipolaris ikolu,"Sinusitis, pneumonia, skin lesions, brain abscesses","Sinusitis, pneumonia, awọn egbo awọ ara, abscesses ọpọlọ"
Acremonium infection,Acreamonium ikolu,"Skin lesions, eye infections, pneumonia, disseminated infections","Awọn egbo awọ ara, awọn akoran oju, pneumonia, awọn akoran ti a tan kaakiri"
Gliotrichum infection,Gliotrichum ikolu,"Skin infections, keratitis, sinusitis","Awọn àkóràn awọ ara, keratitis, sinusitis"
Exserohilum infection,Exserohilum ikolu,"Sinusitis, skin lesions, keratitis, brain abscesses","Sinusitis, awọn egbo awọ ara, keratitis, abscesses ọpọlọ"
Trichophyton infection,Trichophyton ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Microsporum infection,Microsporum ikolu,"Itchy, red, circular rash, cracked skin, hair loss in affected area","Itchy, pupa, sisu ipin, awọ ti o ya, pipadanu irun ni agbegbe ti o kan"
Epidermophyton infection,Epidermophyton ikolu,"Itchy, red, circular rash, cracked skin","Itchy, pupa, sisu ipin, awọ ara sisan"
Coccidioides infection,Coccidioides ikolu,"Fever, cough, chest pain, chills, night sweats, fatigue, joint pain","Iba, Ikọaláìdúró, irora àyà, otutu, lagun alẹ, rirẹ, irora apapọ"
Bipolaris spicifera infection,Bipolaris spicifera ikolu,"Sinusitis, pneumonia, skin lesions, brain abscesses","Sinusitis, pneumonia, awọn egbo awọ ara, abscesses ọpọlọ"
Exophiala infection,Exophiala ikolu,"Skin lesions, brain abscesses, sinusitis, subcutaneous nodules","Awọn egbo awọ ara, abscesses ọpọlọ, sinusitis, awọn nodules subcutaneous"
Chaetomium infection,Chaetomium ikolu,"Sinusitis, pneumonia, skin lesions, brain abscesses","Sinusitis, pneumonia, awọn egbo awọ ara, abscesses ọpọlọ"
Phialophora infection,Ipa phialophora,"Skin lesions, subcutaneous nodules, brain abscesses","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ"
Nigrospora infection,Nigrospora ikolu,"Sinusitis, keratitis, skin lesions","Sinusitis, keratitis, awọn egbo awọ ara"
Drechslera infection,Drechslera ikolu,"Sinusitis, skin lesions, keratitis, brain abscesses","Sinusitis, awọn egbo awọ ara, keratitis, abscesses ọpọlọ"
Fonsecaea infection,Fonsecaea ikolu,"Warty skin lesions, nodules, scaly patches, ulceration","Warty ara egbo, nodules, scaly abulẹ, ulceration"
Madurella infection,Madurella ikolu,"Swelling, painless nodules, drainage, deformity, sinuses discharging grains","Wiwu, awọn nodules ti ko ni irora, idominugere, ibajẹ, awọn sinuses ti n ṣaja awọn irugbin"
Talaromycosis,Talaromycosis,"Fever, cough, fatigue, weight loss, skin lesions, lymph node swelling","Iba, Ikọaláìdúró, rirẹ, àdánù làìpẹ, awọn egbo awọ ara, ọra-ara wiwu"
Eumycetoma,Eumycetoma,"Swelling, painless nodules, drainage, deformity, sinuses discharging grains","Wiwu, awọn nodules ti ko ni irora, idominugere, ibajẹ, awọn sinuses ti n ṣaja awọn irugbin"
Madura foot,Madura ẹsẹ,"Swelling, deformity, discharging sinuses, pain","Wiwu, idibajẹ, awọn sinuses ti njade, irora"
Rhizopus infection,Ikolu Rhizopus,"Sinus pain, facial swelling, black lesions, fever, cough, chest pain","Irora sinus, wiwu oju, awọn egbo dudu, iba, Ikọaláìdúró, irora àyà"
Apophysomyces infection,Apophysomyces ikolu,"Sinusitis, skin infections, brain abscesses","Sinusitis, àkóràn awọ ara, abscesses ọpọlọ"
Conidiobolus infection,Konidiobolus ikolu,"Nasal congestion, facial swelling, subcutaneous nodules","Imu imu, wiwu oju, awọn nodules subcutaneous"
Basidiobolomycosis,Basidiobolomycosis,"Subcutaneous nodules, gastrointestinal symptoms, fever","Awọn nodules subcutaneous, awọn aami aisan inu ikun, iba"
Lichtheimia infection,Lichtheimia ikolu,"Sinusitis, skin infections, pulmonary infections, brain abscesses","Sinusitis, àkóràn awọ ara, àkóràn ẹdọforo, abscesses ọpọlọ"
Syncephalastrum infection,Àkóràn Syncephalastrum,"Sinusitis, skin infections, disseminated infections","Sinusitis, awọn akoran awọ-ara, awọn akoran ti o tan kaakiri"
Entomophthoramycosis,Entomophthoramycosis,"Subcutaneous nodules, nasal congestion, facial swelling","Awọn nodules subcutaneous, imu imu, wiwu oju"
Chrysosporium infection,Chrysosporium ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Emergomycosis,Emergomycosis,"Fever, cough, fatigue, weight loss, skin lesions","Iba, Ikọaláìdúró, rirẹ, àdánù làìpẹ, awọn egbo ara"
Neoscytalidium infection,Neoscytalidium ikolu,"Nail discoloration, onychomycosis, skin infections","Àwọ̀ èékánná, onychomycosis, àkóràn awọ ara"
Scytalidium infection,Scytalidium ikolu,"Nail discoloration, onychomycosis, skin infections","Àwọ̀ èékánná, onychomycosis, àkóràn awọ ara"
Scytalidium dimidiatum infection,Scytalidium dimidiatum ikolu,"Nail discoloration, onychomycosis, skin infections","Àwọ̀ èékánná, onychomycosis, àkóràn awọ ara"
Ochroconis gallopava infection,Ochroconis gallopava ikolu,"Sinusitis, brain abscesses, respiratory infections","Sinusitis, abscesses ọpọlọ, awọn akoran ti atẹgun"
Rhinocladiella infection,Rhinocladiella ikolu,"Skin lesions, brain abscesses, subcutaneous nodules","Awọn egbo awọ ara, abscesses ọpọlọ, awọn nodules subcutaneous"
Cladophialophora bantiana infection,Cladophialophora bantiana ikolu,"Brain abscesses, skin lesions, respiratory infections","Awọn abscesses ọpọlọ, awọn ọgbẹ ara, awọn akoran ti atẹgun"
Cylindrocarpon infection,Cylindrocarpon ikolu,"Skin infections, onychomycosis, respiratory infections","Awọn akoran awọ ara, onychomycosis, awọn akoran atẹgun"
Nigrospora sphaerica infection,Nigrospora sphaerica ikolu,"Sinusitis, keratitis, skin infections","Sinusitis, keratitis, àkóràn awọ ara"
Paecilomyces infection,Paecilomyces ikolu,"Sinusitis, keratitis, skin infections, disseminated infections","Sinusitis, keratitis, àkóràn awọ ara, awọn àkóràn ti a tan kaakiri"
Phialemonium infection,Phialemonium ikolu,"Skin lesions, keratitis, pneumonia, disseminated infections","Awọn egbo awọ ara, keratitis, pneumonia, awọn akoran ti o tan kaakiri"
Pleurostomophora infection,Pleurostomophora ikolu,"Skin lesions, subcutaneous nodules, sinusitis","Awọn egbo awọ ara, awọn nodules subcutaneous, sinusitis"
Rhinocladiella mackenziei infection,Rhinocladiella mackenziei ikolu,"Brain abscesses, skin lesions, respiratory infections","Awọn abscesses ọpọlọ, awọn ọgbẹ ara, awọn akoran ti atẹgun"
Saksenaea infection,Saksenaea ikolu,"Sinusitis, skin infections, brain abscesses","Sinusitis, àkóràn awọ ara, abscesses ọpọlọ"
Scolecobasidium infection,Scolecobasidium ikolu,"Skin lesions, keratitis, sinusitis","Awọn egbo awọ ara, keratitis, sinusitis"
Setosphaeria infection,Setosphaeria ikolu,"Sinusitis, keratitis, skin infections","Sinusitis, keratitis, àkóràn awọ ara"
Sporothrix schenckii infection,Sporothrix schenckii ikolu,"Skin ulcers, nodules, red bumps, lymph node swelling","Awọn ọgbẹ awọ ara, awọn nodules, awọn bumps pupa, wiwu ọra-ara"
Stachybotrys infection,Stachybotrys ikolu,"Cough, wheezing, chest tightness, eye irritation, skin rash","Ikọaláìdúró, mimi, wiwọ àyà, irritation oju, awọ ara"
Thielavia infection,Thielavia ikolu,"Sinusitis, pneumonia, skin infections, brain abscesses","Sinusitis, pneumonia, àkóràn awọ ara, abscesses ọpọlọ"
Thyrostroma infection,Thyrostroma ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Torula infection,Torula ikolu,"Skin lesions, respiratory infections, meningitis","Awọn egbo awọ ara, awọn akoran atẹgun, meningitis"
Ulocladium infection,Ulocladium ikolu,"Sinusitis, skin lesions, respiratory infections","Sinusitis, awọn ọgbẹ ara, awọn akoran atẹgun"
Veronaea infection,Veronaea ikolu,"Skin lesions, subcutaneous nodules, brain abscesses","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ"
Verticillium infection,Verticillium ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Wangiella dermatitidis infection,Wangiella dermatitis arun,"Skin lesions, brain abscesses, sinusitis","Awọn egbo awọ ara, abscesses ọpọlọ, sinusitis"
Phialophora verrucosa infection,Phalophora verrucosa ikolu,"Skin lesions, subcutaneous nodules, brain abscesses","Awọn egbo awọ ara, awọn nodules subcutaneous, abscesses ọpọlọ"
Hendersonula toruloidea infection,Hendersonula toruloidea ikolu,"Nail discoloration, onychomycosis, skin infections","Àwọ̀ èékánná, onychomycosis, àkóràn awọ ara"
Hormodendrum infection,Hormodendrum ikolu,"Skin lesions, respiratory infections, brain abscesses","Awọn egbo awọ ara, awọn akoran atẹgun, awọn abọ ọpọlọ"
Helminthosporium infection,Helminthosporium ikolu,"Sinusitis, keratitis, skin lesions, respiratory infections","Sinusitis, keratitis, awọn egbo awọ ara, awọn akoran atẹgun"
Monilia infection,Monilia ikolu,"Oral thrush, diaper rash, vaginal infections, skin lesions","Ọgbẹ ẹnu, sisu iledìí, àkóràn abẹ, awọn egbo ara"
Nodulisporium infection,Nodulisporium ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Mucor infection,Mucor ikolu,"Sinus pain, facial swelling, black lesions, fever, cough, chest pain","Irora sinus, wiwu oju, awọn egbo dudu, iba, Ikọaláìdúró, irora àyà"
Nigrospora oryzae infection,Nigrospora oryzae ikolu,"Sinusitis, keratitis, skin infections","Sinusitis, keratitis, àkóràn awọ ara"
Phoma infection,Àkóràn phoma,"Skin lesions, respiratory infections, brain abscesses","Awọn egbo awọ ara, awọn akoran atẹgun, awọn abọ ọpọlọ"
Pithomyces infection,Pithomyces ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Scopulariopsis brevicaulis infection,Scopulariopsis brevicaulis ikolu,"Nail discoloration, onychomycosis, skin infections","Àwọ̀ èékánná, onychomycosis, àkóràn awọ ara"
Tinea nigra,Tinea nigra,Brown or black painless patches on palms or soles,Awọn abulẹ brown tabi dudu ti ko ni irora lori awọn ọpẹ tabi awọn atẹlẹsẹ
Trichoderma infection,Trichoderma ikolu,"Sinusitis, skin lesions, respiratory infections","Sinusitis, awọn ọgbẹ ara, awọn akoran atẹgun"
Verticillium alboatrum infection,Verticillium alboatrum ikolu,"Skin lesions, respiratory infections, disseminated infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ti a tan kaakiri"
Cryptococcus gattii infection,Cryptococcus gattii ikolu,"Cough, chest pain, shortness of breath, fever, headache, confusion","Ikọaláìdúró, àyà irora, kukuru simi, iba, orififo, iporuru"
Candidemia,Candidemia,"Fever, chills, sepsis, organ dysfunction, skin lesions","Iba, otutu, sepsis, aiṣiṣẹ ti ara, awọn egbo awọ ara"
Chronic mucocutaneous candidiasis,Candidiasis mucocutaneous onibaje,"Persistent fungal infections of skin, nails, and mucous membranes, oral thrush, nail dystrophy","Awọn akoran olu igbagbogbo ti awọ ara, eekanna, ati awọn membran mucous, thrush oral, dystrophy àlàfo"
White piedra,Piedra funfun,"Soft, white nodules on hair shafts, hair breakage","Rirọ, awọn nodules funfun lori awọn ọpa irun, fifọ irun"
Black piedra,Piedra dudu,"Hard, black nodules on hair shafts, hair breakage","Lile, awọn nodules dudu lori awọn ọpa irun, fifọ irun"
Zygomycosis,Zygomycosis,"Sinus pain, facial swelling, black lesions, fever, cough, chest pain","Irora sinus, wiwu oju, awọn egbo dudu, iba, Ikọaláìdúró, irora àyà"
Rhizomucor infection,Rhizomucor ikolu,"Sinus pain, facial swelling, black lesions, fever, cough, chest pain","Irora sinus, wiwu oju, awọn egbo dudu, iba, Ikọaláìdúró, irora àyà"
Syncephalastrum racemosum infection,Syncephalastrum racemosum ikolu,"Sinusitis, skin infections, disseminated infections","Sinusitis, awọn akoran awọ-ara, awọn akoran ti o tan kaakiri"
Rhizopus oryzae infection,Rhizopus oryzae ikolu,"Sinus pain, facial swelling, black lesions, fever, cough, chest pain","Irora sinus, wiwu oju, awọn egbo dudu, iba, Ikọaláìdúró, irora àyà"
Curvularia lunata infection,Curvularia lunata ikolu,"Sinusitis, keratitis, skin lesions, brain abscesses","Sinusitis, keratitis, awọn egbo awọ ara, abscesses ọpọlọ"
Mucor circinelloides infection,Mucor circinelloides ikolu,"Sinus pain, facial swelling, black lesions, fever, cough, chest pain","Irora sinus, wiwu oju, awọn egbo dudu, iba, Ikọaláìdúró, irora àyà"
Aspergillus terreus infection,Aspergillus terreus ikolu,"Cough, chest pain, shortness of breath, fever, sinusitis","Ikọaláìdúró, àyà irora, kukuru ìmí, iba, sinusitis"
Aspergillus flavus infection,Aspergillus flavus ikolu,"Cough, chest pain, shortness of breath, fever, sinusitis","Ikọaláìdúró, àyà irora, kukuru ìmí, iba, sinusitis"
Aspergillus niger infection,Aspergillus Niger ikolu,"Cough, chest pain, shortness of breath, fever, sinusitis","Ikọaláìdúró, àyà irora, kukuru ìmí, iba, sinusitis"
Aspergillus fumigatus infection,Aspergillus fumigatus ikolu,"Cough, chest pain, shortness of breath, fever, sinusitis","Ikọaláìdúró, àyà irora, kukuru ìmí, iba, sinusitis"
Fusarium solani infection,Fusarium solani ikolu,"Skin lesions, sinusitis, keratitis, disseminated infections","Awọn egbo awọ ara, sinusitis, keratitis, awọn akoran ti o tan kaakiri"
Fusarium oxysporum infection,Fusarium oxysporum ikolu,"Skin lesions, sinusitis, keratitis, disseminated infections","Awọn egbo awọ ara, sinusitis, keratitis, awọn akoran ti o tan kaakiri"
Fusarium moniliforme infection,Fusarium moniliforme ikolu,"Skin lesions, sinusitis, keratitis, disseminated infections","Awọn egbo awọ ara, sinusitis, keratitis, awọn akoran ti o tan kaakiri"
Paecilomyces lilacinus infection,Paecilomyces lilacinus ikolu,"Skin lesions, keratitis, pneumonia, disseminated infections","Awọn egbo awọ ara, keratitis, pneumonia, awọn akoran ti o tan kaakiri"
Cladosporium cladosporioides infection,Cladosporium cladosporioides ikolu,"Skin lesions, sinusitis, respiratory infections","Awọn egbo awọ ara, sinusitis, awọn akoran atẹgun"
Curvularia geniculata infection,Curvularia geniculata ikolu,"Sinusitis, keratitis, skin lesions, brain abscesses","Sinusitis, keratitis, awọn egbo awọ ara, abscesses ọpọlọ"
Cladosporium sphaerospermum infection,Cladosporium sphaerospermum ikolu,"Skin lesions, sinusitis, respiratory infections","Awọn egbo awọ ara, sinusitis, awọn akoran atẹgun"
Acremonium strictum infection,Acreamonium strictum ikolu,"Skin lesions, eye infections, pneumonia, disseminated infections","Awọn egbo awọ ara, awọn akoran oju, pneumonia, awọn akoran ti a tan kaakiri"
Alternaria alternata infection,Alternaria alternata ikolu,"Sinusitis, asthma exacerbation, skin lesions, keratitis","Sinusitis, ikọ-fèé exacerbation, awọn egbo ara, keratitis"
Sporobolomyces infection,Sporobolomyces ikolu,"Skin lesions, respiratory infections, bloodstream infections","Awọn egbo awọ ara, awọn akoran atẹgun, awọn akoran ẹjẹ"
Rhodotorula infection,Rhodatorula ikolu,"Skin lesions, bloodstream infections, respiratory infections","Awọn egbo awọ ara, awọn akoran ẹjẹ, awọn akoran atẹgun"
Candida glabrata infection,Candida glabrata ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ọgbẹ ẹnu, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Candida krusei infection,Candida krusei ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ọgbẹ ẹnu, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Candida parapsilosis infection,Candida parapsilosis ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ọgbẹ ẹnu, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Candida tropicalis infection,Candida tropicalis ikolu,"Oral thrush, vaginal yeast infections, bloodstream infections","Ọgbẹ ẹnu, awọn akoran iwukara abẹ, awọn akoran ẹjẹ"
Candida auris infection,Candida auris ikolu,"Fever, chills, bloodstream infections, organ dysfunction","Iba, otutu, awọn akoran ẹjẹ, aiṣiṣẹ ti ara"
Malassezia furfur infection,Malassezia furfur ikolu,"Itchy, flaky scalp, dandruff, scaly patches, skin discoloration","Ríyọ̀, àwọ̀ àwọ̀ tí ń jó, ìríra, àwọn àwọ̀ eléèérí, àwọ̀ ara"
Saccharomyces cerevisiae infection,Saccharomyces cerevisiae ikolu,"Skin infections, respiratory infections, bloodstream infections","Awọn akoran awọ ara, awọn akoran atẹgun, awọn akoran ẹjẹ"
