English_Name,Oruko(Yoruba_Name),English_Symptoms,Awọn aami aisan(Symptoms)
Herpes Simplex Virus Type 1 (HSV-1),fáírọ́ọ̀sì Herpes Simplex Type 1 (HSV-1),"Painful blisters and sores around the mouth, fever, body aches, swollen lymph nodes","Awọn roro irora ati awọn egbò ni ayika ẹnu, iba, irora ara, awọn ọgbẹ ti o wú"
Herpes Simplex Virus Type 2 (HSV-2),Herpes Simplex Virus Type 2 (HSV-2),"Painful blisters and sores on the genitals, itching, flu-like symptoms","Awọn roro irora ati awọn egbò lori abẹ-ara, nyún, awọn aami aisan-aisan"
Hepatitis D,Hepatitis D,"Jaundice, fatigue, abdominal pain, nausea, joint pain","Jaundice, rirẹ, irora inu, ríru, irora apapọ"
Hepatitis E,Hepatitis E,"Jaundice, fatigue, nausea, abdominal pain, dark urine","Jaundice, rirẹ, ríru, irora inu, ito dudu"
Norovirus,Norovirus,"Nausea, vomiting, diarrhea, stomach pain, fever","ko o ma se bi pe eyan fe bi, ki eyan ma bi, ki eyan ma ya igbe lopo lopo igba, inu riro, iba"
Norwalk Virus,Kòkòrò àrùn fáírọ́ọ̀sì Norwalk,"Nausea, vomiting, diarrhea, stomach pain, fever","ko o ma se bi pe eyan fe bi, ki eyan ma bi, ki eyan ma ya igbe lopo lopo igba, inu riro, iba"
Human Parvovirus B19 (Fifth Disease),Eniyan Parvovirus B19 (Arun Karun),"Fever, runny nose, headache, slapped cheek rash","Iba, imu ti on se omi, orififo, oru sisu ẹrẹkẹ ti a labara"
JC Virus,Kòkòrò àrùn fáírọ́ọ̀sì JC,"Weakness, vision problems, speech difficulties, cognitive decline","Ailagbara, awọn iṣoro iran, awọn iṣoro ọrọ, idinku imọ"
BK Virus,Kòkòrò àrùn fáírọ́ọ̀sì BK,"Fever, urinary symptoms, kidney dysfunction","Iba, awọn aami aiṣan ito, ailagbara kidinrin"
Simian Virus 40 (SV40),Kòkòrò àrùn fáírọ́ọ̀sì Simian 40 (SV40),"Fever, fatigue, respiratory symptoms, potential cancer association","Iba, rirẹ, awọn ami atẹgun, ẹgbẹ alakan ti o pọju"
Human Coronavirus OC43,Coronavirus OC43 ti Eniyan,"Common cold symptoms, cough, fever, nasal congestion","Awọn aami aisan otutu ti o wọpọ, Ikọaláìdúró, iba, imu imu"
Human Coronavirus 229E,Coronavirus 229E ti Eniyan,"Common cold symptoms, cough, fever, nasal congestion","Awọn aami aisan otutu ti o wọpọ, Ikọaláìdúró, iba, imu imu"
Human Coronavirus NL63,Coronavirus NL63 ti Eniyan,"Common cold symptoms, cough, fever, nasal congestion","Awọn aami aisan otutu ti o wọpọ, Ikọaláìdúró, iba, imu imu"
Human Coronavirus HKU1,Coronavirus HKU1 ti Eniyan,"Common cold symptoms, cough, fever, nasal congestion","Awọn aami aisan otutu ti o wọpọ, Ikọaláìdúró, iba, imu imu"
Human Herpesvirus 6 (HHV-6),Herpesvirus eniyan 6 (HHV-6),"High fever, rash, irritability, swollen lymph nodes","Iba ti o ga, oru sisu, irritability, wiwu ọra-ara"
Human Herpesvirus 7 (HHV-7),Herpesvirus eniyan 7 (HHV-7),"Fever, rash, respiratory symptoms, febrile seizures","Iba, oru sisu, awọn ami atẹgun, awọn ijagba febrile"
